s,n,i,m
ATRI,Atrion,Medical Instruments & Supplies,954191000
ATRO,Astronics,Aerospace & Defense,615819702
ATS,ATS Corporation,Specialty Industrial Machinery,4113854442.72
ATSG,Air Transport Services Group,Airlines,1375686876
ATTO,Atento,Specialty Business Services,7829838
ATUS,Altice USA,Telecom Services,1514047740
ATVI,Activision Blizzard,Electronic Gaming & Multimedia,64803084392
ATXG,Addentax Group,Integrated Freight & Logistics,22485774
ATXI,Avenue Therapeutics,Biotechnology,9029347
ATXS,Astria Therapeutics,Biotechnology,245225750
AU,AngloGold Ashanti,Gold,8407200680
AUB,Atlantic Union Bankshares,Banks - Regional,1975357764
AUBN,Auburn National Bancorporation,Banks - Regional,76238276
AUDC,AudioCodes,Communication Equipment,304679446
AUGX,Augmedix,Health Information Services,202913865
AUID,authID,Software - Infrastructure,58875928
AULT,Ault Alliance,Aerospace & Defense,6998391
AUMN,Golden Minerals Company,Other Precious Metals & Mining,13199780
AUPH,Aurinia Pharmaceuticals,Biotechnology,1471819860
AUR,Aurora Innovation,Information Technology Services,3305148207
AURA,Aura Biosciences,Biotechnology,439615163
AURC,Aurora Acquisition,Shell Companies,93588664
AUST,Austin Gold,Gold,11413748
AUTL,Autolus Therapeutics,Biotechnology,429226020
AUUD,Auddia,Software - Application,8357877
AUVI,Applied UV,Furnishings,8306281
AVA,Avista,Utilities - Diversified,2829766874
AVAH,Aveanna Healthcare Holdings,Medical Care Facilities,288081462
AVAL,Grupo Aval Acciones y Valores,Banks - Regional,2825464714
AVAV,AeroVironment,Aerospace & Defense,2522065780
AVB,AvalonBay Communities,REIT - Residential,27131750459
AVD,American Vanguard,Agricultural Inputs,526824441
AVDL,Avadel Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1151526000
AVDX,AvidXchange Holdings,Software - Infrastructure,2145314255
AVGO,Broadcom,Semiconductors,349441016976
AVGR,Avinger,Medical Instruments & Supplies,7590905
AVHI,Achari Ventures Holdings I,Shell Companies,37411860
AVID,Avid Technology,Electronic Gaming & Multimedia,1152143296
AVIR,Atea Pharmaceuticals,Biotechnology,303573816
AVNS,Avanos Medical,Medical Devices,1155469968
AVNT,Avient,Specialty Chemicals,3816872728
AVNW,Aviat Networks,Communication Equipment,373310041
AVO,Mission Produce,Food Distribution,838101504
AVPT,AvePoint,Software - Infrastructure,1077824625
AVRO,AVROBIO,Biotechnology,43531734
AVT,Avnet,Electronics & Computer Distribution,4534324234
AVTA,Avantax,Asset Management,891385110
AVTE,Aerovate Therapeutics,Biotechnology,479431107
AVTR,Avantor,Specialty Chemicals,13994988177
AVTX,Avalo Therapeutics,Biotechnology,4712579
AVXL,Anavex Life Sciences,Biotechnology,659635599
AVY,Avery Dennison,Business Equipment & Supplies,13922359850
AWH,Aspira Women's Health,Diagnostics & Research,26654528
AWI,Armstrong World Industries,Building Products & Equipment,3268413116
AWIN,AERWINS Technologies,Scientific & Technical Instruments,24954186
AWK,American Water Works Company,Utilities - Regulated Water,27456482640
AWR,American States Water Company,Utilities - Regulated Water,3100101376
AWRE,Aware,Software - Application,33318927
AWX,Avalon Holdings,Waste Management,9890904
AX,Axos Financial,Banks - Regional,2316622794
AXDX,Accelerate Diagnostics,Medical Devices,120652120
AXGN,AxoGen,Medical Devices,350365760
AXL,American Axle & Manufacturing Holdings,Auto Parts,1004031600
AXLA,Axcella Health,Biotechnology,15768996
AXNX,Axonics,Medical Devices,2469808974
AXON,Axon Enterprise,Aerospace & Defense,13897824178
AXP,American Express Company,Credit Services,126202325875
AXR,AMREP,Real Estate - Development,90647198
AXS,AXIS Capital Holdings,Insurance - Property & Casualty,4595682822
AXSM,Axsome Therapeutics,Biotechnology,3385871640
AXTA,Axalta Coating Systems,Specialty Chemicals,7188745590
AXTI,AXT,Semiconductor Equipment & Materials,126402010
AY,Atlantica Sustainable Infrastructure,Utilities - Renewable,2648288400
AYI,Acuity Brands,Electrical Equipment & Parts,5039444144
AYRO,Ayro,Auto Manufacturers,26170169
AYTU,Aytu BioPharma,Drug Manufacturers - Specialty & Generic,9279413
AYX,Alteryx,Software - Application,3076538224
AZ,A2Z Smart Technologies,Aerospace & Defense,98155924
AZEK,The AZEK Company,Building Products & Equipment,4272918679
AZN,AstraZeneca,Drug Manufacturers - General,201018132774
AZO,AutoZone,Specialty Retail,44836423560
AZPN,Aspen Technology,Software - Application,10970183604
AZRE,Azure Power Global,Utilities - Renewable,108432935
AZTA,Azenta,Medical Instruments & Supplies,2978113620
AZTR,Azitra,Biotechnology,46049603.1
AZUL,Azul S.A.,Airlines,1373032200
AZYO,Aziyo Biologics,Medical Devices,37642752
AZZ,AZZ Inc.,Metal Fabrication,1047361730
B,Barnes Group,Specialty Industrial Machinery,2063896190
BA,The Boeing Company,Aerospace & Defense,127598084006
BABA,Alibaba Group Holding,Internet Retail,232034383693
BAC,Bank of America,Banks - Diversified,227359848131
BACA,Berenson Acquisition I,Shell Companies,97725061
BACK,IMAC Holdings,Medical Care Facilities,3994204
BAER,Bridger Aerospace Group Holdings,Security & Protection Services,242919616
BAFN,BayFirst Financial,Banks - Regional,54263737
BAH,Booz Allen Hamilton Holding,Consulting Services,14676119600
BAK,Braskem,Chemicals,4431142080
BALL,Ball Corporation,Packaging & Containers,18073928080
BALY,Bally's,Resorts & Casinos,685745906
BAM,Brookfield Asset Management,Asset Management,13168826040
BANC,Banc of California,Banks - Regional,680771718
BAND,Bandwidth,Software - Infrastructure,342546880
BANF,BancFirst,Banks - Regional,3099499579
BANL,CBL International,Oil & Gas Midstream,95000000
BANR,Banner,Banks - Regional,1530293122
BANX,ArrowMark Financial,Asset Management,117116109
BAOS,Baosheng Media Group Holdings,Advertising Agencies,11431951
BAP,Credicorp,Banks - Regional,12065967208
BARK,BARK,Specialty Retail,246118871
BASE,Couchbase,Software - Infrastructure,657133032
BATL,Battalion Oil,Oil & Gas E&P,98251275
BATRK,The Liberty Braves Group,Entertainment,2093198974
BAX,Baxter International,Medical Instruments & Supplies,22915004275
BB,BlackBerry,Software - Infrastructure,2762446741
BBAI,BigBear.ai Holdings,Information Technology Services,301493680
BBAR,Banco BBVA Argentina,Banks - Regional,1209082993
BBCP,Concrete Pumping Holdings,Engineering & Construction,434139559
BBD,Banco Bradesco,Banks - Regional,35703022387
BBDC,Barings BDC,Credit Services,833111520
BBDO,Banco Bradesco,Banks - Regional,34877600082
BBGI,Beasley Broadcast Group,Broadcasting,29547639
BBIG,Vinco Ventures,Leisure,24440000
BBIO,BridgeBio Pharma,Biotechnology,2710861755
BBLG,Bone Biologics,Medical Devices,4576180
BBSI,Barrett Business Services,Staffing & Employment Services,585622656
BBU,Brookfield Business Partners L.P.,Conglomerates,1337064960
BBUC,Brookfield Business,Asset Management,1403656201
BBVA,Banco Bilbao Vizcaya Argentaria,Banks - Diversified,45277918879
BBW,Build-A-Bear Workshop,Specialty Retail,325114260
BBWI,Bath & Body Works,Specialty Retail,8620825920
BBY,Best Buy Co.,Specialty Retail,17304132934
BC,Brunswick,Recreational Vehicles,5991529436
BCAB,BioAtla,Biotechnology,133469000
BCAL,Southern California Bancorp,Banks - Regional,257064420
BCAN,BYND Cannasoft Enterprises,Software - Infrastructure,133606833
BCBP,BCB Bancorp,Banks - Regional,197914650
BCC,Boise Cascade Company,Building Materials,3573375348
BCDA,BioCardia,Biotechnology,57054942
BCE,BCE Inc.,Telecom Services,40893926000
BCEL,Atreca,Biotechnology,38259912
BCH,Banco de Chile,Banks - Regional,10531022083
BCLI,Brainstorm Cell Therapeutics,Biotechnology,77240856
BCML,BayCom,Banks - Regional,207587064
BCO,The Brink's Company,Security & Protection Services,3054327066
BCOV,Brightcove,Software - Application,184286820
BCOW,1895 Bancorp of Wisconsin,Banks - Regional,48167955
BCPC,Balchem,Specialty Chemicals,4166074779
BCRX,BioCryst Pharmaceuticals,Biotechnology,1318766356
BCS,Barclays,Banks - Diversified,29823184668
BCSA,Blockchain Coinvestors Acquisition I,Shell Companies,160339464
BCSF,Bain Capital Specialty Finance,Asset Management,886440379
BCTX,BriaCell Therapeutics,Biotechnology,102922148
BCYC,Bicycle Therapeutics,Biotechnology,760100550
BDC,Belden,Communication Equipment,4066986348
BDL,Flanigan's Enterprises,Restaurants,57804015
BDN,Brandywine Realty Trust,REIT - Office,799404787
BDRX,Biodexa Pharmaceuticals,Biotechnology,21422318.849999998
BDSX,Biodesix,Diagnostics & Research,93505678
BDTX,Black Diamond Therapeutics,Biotechnology,167315400
BDX,Becton,Medical Instruments & Supplies,72969135855
BE,Bloom Energy,Electrical Equipment & Parts,3480532466
BEAM,Beam Therapeutics,Biotechnology,2321585172
BEAT,HeartBeam,Health Information Services,77962612
BECN,Beacon Roofing Supply,Building Products & Equipment,5264342872
BEDU,Bright Scholar Education Holdings,Education & Training Services,34809380
BEEM,Beam Global,Solar,139968644
BEKE,KE Holdings,Real Estate Services,17706478729
BELFA,Bel Fuse,Electronic Components,688427590
BELFB,Bel Fuse,Electronic Components,714660950
BEN,Franklin Resources,Asset Management,13097567659
BENF,Beneficient,Asset Management,569413119
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,13453201133
BEPC,Brookfield Renewable,Utilities - Renewable,5603533020
BERY,Berry Global Group,Packaging & Containers,7696744000
BEST,BEST Inc.,Trucking,34720000
BF.A,Brown-Forman,Beverages - Wineries & Distilleries,31851562838
BF.B,Brown-Forman,Beverages - Wineries & Distilleries,31933632510
BFAC,Battery Future Acquisition,Shell Companies,457616636
BFAM,Bright Horizons Family Solutions,Personal Services,5352160896
BFC,Bank First,Banks - Regional,866770956
BFH,Bread Financial Holdings,Credit Services,1576715426
BFI,BurgerFi International,Restaurants,42222024
BFIN,BankFinancial,Banks - Regional,103836920
BFLY,Butterfly Network,Medical Devices,456072282
BFRG,Bullfrog AI Holdings,Health Information Services,18246886.71
BFRI,Biofrontera,Drug Manufacturers - Specialty & Generic,12535181
BFS,Saul Centers,REIT - Retail,1182459002
BFST,Business First Bancshares,Banks - Regional,375611418
BG,Bunge,Farm Products,15210911820
BGC,BGC Group,Capital Markets,1726387159
BGFV,Big 5 Sporting Goods,Specialty Retail,206362553
BGI,Birks Group,Luxury Goods,101687395
BGNE,BeiGene,Biotechnology,19985962450
BGRY,Berkshire Grey,Specialty Industrial Machinery,330262621
BGS,B&G Foods,Packaged Foods,994344038
BGSF,BGSF,Staffing & Employment Services,104702808
BGXX,Bright Green,Drug Manufacturers - Specialty & Generic,167947954
BH,Biglari Holdings,Restaurants,607131658
BH.A,Biglari Holdings,Restaurants,616315404
BHAC,Crixus BH3 Acquisition Company,Shell Companies,111931030
BHAT,Fujian Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,11576834
BHB,Bar Harbor Bankshares,Banks - Regional,369049532
BHC,Bausch Health Companies,Drug Manufacturers - Specialty & Generic,3033458160
BHE,Benchmark Electronics,Electronic Components,914442410
BHF,Brighthouse Financial,Insurance - Life,3243402855
BHG,Bright Health Group,Healthcare Plans,98841247
BHIL,Benson Hill,Agricultural Inputs,246885740
BHLB,Berkshire Hills Bancorp,Banks - Regional,928492884
BHM,Bluerock Homes Trust,REIT - Residential,62127162
BHP,BHP Group,Other Industrial Metals & Mining,208964859709
BHR,Braemar Hotels & Resorts,REIT - Hotel & Motel,334937172
BHRB,Burke & Herbert Bank & Trust Company,Banks - Regional,434528640
BHVN,Biohaven Pharmaceutical Holding Company,Biotechnology,1551436500
BIAF,bioAffinity Technologies,Diagnostics & Research,15419354
BIDU,Baidu,Internet Content & Information,49873506879
BIG,Big Lots,Discount Stores,273101400
BIGC,BigCommerce Holdings,Software - Application,717914574
BIIB,Biogen,Drug Manufacturers - General,39814181940
BILI,Bilibili,Electronic Gaming & Multimedia,6119460038
BILL,Bill.com Holdings,Software - Application,12298221600
BIMI,BIMI International Medical,Pharmaceutical Retailers,8024147
BIO,Bio-Rad Laboratories,Medical Devices,11185548892
BIOC,Biocept,Diagnostics & Research,1866113
BIOL,BIOLASE,Medical Devices,7759860
BIOR,Biora Therapeutics,Biotechnology,52003465
BIOS,BioPlus Acquisition,Shell Companies,206167038
BIOX,Bioceres Crop Solutions,Agricultural Inputs,826098780
BIP,Brookfield Infrastructure Partners L.P.,Utilities - Diversified,16350266165
BIPC,Brookfield Infrastructure,Utilities - Regulated Gas,5039573840
BIRD,Allbirds,Apparel Retail,183584386
BITE,Bite Acquisition,Shell Companies,89670952
BITF,Bitfarms,Capital Markets,419885384
BIVI,BioVie,Biotechnology,161085420
BJ,BJ's Wholesale Club Holdings,Discount Stores,8566023240
BJDX,Bluejay Diagnostics,Medical Devices,6718055
BJRI,BJ's Restaurants,Restaurants,725995188
BK,The Bank of New York Mellon Corporation,Asset Management,35021767630
BKCC,BlackRock Capital Investment,Asset Management,248195912
BKD,Brookdale Senior Living,Medical Care Facilities,796145220
BKE,The Buckle,Apparel Retail,1741748024
BKH,Black Hills,Utilities - Diversified,3871439424
BKI,Black Knight,Software - Application,9446417378
BKKT,Bakkt Holdings,Software - Infrastructure,126048225
BKNG,Booking Holdings,Travel Services,97390842867
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,33519239600
BKSC,Bank of South Carolina,Banks - Regional,76122719
BKSY,BlackSky Technology,Scientific & Technical Instruments,302124873
BKTI,BK Technologies,Communication Equipment,53612323
BKU,BankUnited,Banks - Regional,1633224870
BKYI,BIO-key International,Security & Protection Services,7644852
BL,BlackLine,Software - Application,3209487974
BLAC,Bellevue Life Sciences Acquisition,Shell Companies,53674789.86
BLBD,Blue Bird,Auto Manufacturers,686785920
BLBX,Blackboxstocks,Software - Application,9347142
BLCO,Bausch + Lomb,Medical Instruments & Supplies,6924600344
BLD,TopBuild,Engineering & Construction,8307204345
BLDE,Blade Air Mobility,Airports & Air Services,281697970
BLDP,Ballard Power Systems,Specialty Industrial Machinery,1218634767
BLDR,Builders FirstSource,Building Products & Equipment,17036800000
BLEU,bleuacacia ltd,Shell Companies,353970010
BLFS,BioLife Solutions,Medical Instruments & Supplies,959211037
BLFY,Blue Foundry Bancorp,Banks - Regional,259397982
BLIN,Bridgeline Digital,Software - Infrastructure,12813648
BLK,BlackRock,Asset Management,102452873773
BLKB,Blackbaud,Software - Application,3931431174
BLMN,Bloomin' Brands,Restaurants,2277495242
BLND,Blend Labs,Software - Application,241753881
BLNG,Belong Acquisition,Shell Companies,86794788
BLNK,Blink Charging Co.,Engineering & Construction,398037760
BLPH,Bellerophon Therapeutics,Biotechnology,7293960
BLRX,BioLineRx,Biotechnology,101833143
BLTE,Belite Bio,Biotechnology,361293001
BLUA,BlueRiver Acquisition,Shell Companies,105092012
BLUE,bluebird bio,Biotechnology,363929040
BLX,Banco Latinoamericano de Comercio Exterior,Banks - Regional,808222350
BLZE,Backblaze,Software - Infrastructure,176460000
BMA,Banco Macro,Banks - Regional,4718096245
BMAC,Black Mountain Acquisition,Shell Companies,124701452
BMBL,Bumble,Software - Application,5429321963
BMEA,Biomea Fusion,Biotechnology,775638101
BMI,Badger Meter,Scientific & Technical Instruments,4106417184
BMO,Bank of Montreal,Banks - Diversified,63958430765
BMR,Beamr Imaging,Software - Application,35556804
BMRA,Biomerica,Medical Devices,21195216
BMRC,Bank of Marin Bancorp,Banks - Regional,283464609
BMRN,BioMarin Pharmaceutical,Biotechnology,15967723389
BMTX,BM Technologies,Software - Application,35113592
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,131618255507
BN,Brookfield,Asset Management,51088112000
BNED,Barnes & Noble Education,Specialty Retail,107312772
BNGO,Bionano Genomics,Diagnostics & Research,179349443
BNIX,Bannix Acquisition,Shell Companies,57313815
BNL,Broadstone Net Lease,REIT - Diversified,3046020546
BNMV,BitNile Metaverse,Oil & Gas Integrated,2632477.9535999997
BNOX,Bionomics,Biotechnology,19175154
BNR,Burning Rock Biotech,Diagnostics & Research,240140987
BNRE,Brookfield Reinsurance,Insurance - Reinsurance,1699500061
BNRG,Brenmiller Energy,Utilities - Renewable,17565275
BNS,The Bank of Nova Scotia,Banks - Diversified,57691884730
BNTC,Benitec Biopharma,Biotechnology,6888971
BNTX,BioNTech SE,Biotechnology,25752191400
BOAC,Bluescape Opportunities Acquisition,Shell Companies,225643131
BOC,Boston Omaha,Advertising Agencies,602621231
BOCN,Blue Ocean Acquisition,Shell Companies,250944893
BODY,The Beachbody Company,Internet Content & Information,129855288
BOF,BranchOut Food,Packaged Foods,12044883.83
BOH,Bank of Hawaii,Banks - Regional,1662081888
BOKF,BOK Financial,Banks - Regional,5551176680
BOLT,Bolt Biotherapeutics,Biotechnology,53694886
BON,Bon Natural Life,Packaged Foods,6020063
BOOM,DMC Global,Oil & Gas Equipment & Services,334393536
